exchange_timestamp,arrival_timestamp,processed_timestamp,latency_ns,close,volume,validation_flags
1779861408000,1779861408995467000,1779861408995503700,36700,75708.3,0.01273,0
1779861409000,1779861409982534500,1779861409982542200,7700,75708.3,0.01524,0
1779861410000,1779861410937220200,1779861410937228900,8700,75708.3,0.00967,0
1779861411000,1779861411970731800,1779861411970740100,8300,75708.3,0.01265,0
1779861412000,1779861412952355000,1779861412952365300,10300,75708.3,0.01569,0
1779861413000,1779861413965766700,1779861413965774000,7300,75708.3,0,0
1779861414000,1779861414914440800,1779861414914452000,11200,75708.3,0.00169,0
1779861415000,1779861415921441700,1779861415921448700,7000,75708.3,0.01955,0
1779861416000,1779861416910353500,1779861416910360700,7200,75708.3,0.01388,0
1779861417000,1779861417932477800,1779861417932485200,7400,75708.3,0,0
1779861418000,1779861418947107600,1779861418947116300,8700,75708.3,0.00053,0
1779861419000,1779861420015697300,1779861420015705600,8300,75708.3,0.01338,0
1779861420000,1779861420937428400,1779861420937435500,7100,75708.3,0.0121,0
1779861421000,1779861422022766100,1779861422022773100,7000,75708.3,0.01571,0
1779861422000,1779861423057733000,1779861423057740300,7300,75708.3,0.00685,0
1779861423000,1779861423967744400,1779861423967760900,16500,75708.3,0.05851,0
1779861424000,1779861424910814600,1779861424910822300,7700,75708.3,0,0
1779861425000,1779861425920670900,1779861425920677900,7000,75708.3,0,0
1779861426000,1779861426925372000,1779861426925379700,7700,75708.3,0.01699,0
1779861427000,1779861427931005800,1779861427931013000,7200,75708.3,0,0
1779861428000,1779861428972422100,1779861428972430200,8100,75708.3,0,0
1779861429000,1779861429967736900,1779861429967748900,12000,75713.3,0.16457,0
1779861430000,1779861430917448700,1779861430917456300,7600,75713.3,0.01581,0
1779861431000,1779861431915750700,1779861431915766500,15800,75713.3,0.01715,0
1779861432000,1779861432977385100,1779861432977392200,7100,75721.4,0.14603,0
1779861433000,1779861433922697300,1779861433922704600,7300,75721.4,0.01235,0
1779861434000,1779861434921254800,1779861434921261700,6900,75721.4,0.02399,0
1779861435000,1779861435934012000,1779861435934019100,7100,75721.4,0.25421,0
1779861436000,1779861436920055800,1779861436920064100,8300,75721.4,0.00479,0
1779861437000,1779861437910631500,1779861437910639500,8000,75721.4,0.00929,0
1779861438000,1779861438942031700,1779861438942039200,7500,75721.4,7e-05,0
1779861439000,1779861439999126400,1779861439999133900,7500,75721.4,0.00171,0
1779861440000,1779861440910185900,1779861440910195300,9400,75721.4,0.01066,0
1779861441000,1779861441973546500,1779861441973553700,7200,75721.4,0.0097,0
1779861442000,1779861442949303400,1779861442949310900,7500,75721.4,0.00712,0
1779861443000,1779861444041271500,1779861444041278900,7400,75721.4,0.00493,0
1779861444000,1779861444910832600,1779861444910840200,7600,75721.4,0.01264,0
1779861445000,1779861445930020600,1779861445930061800,41200,75721.4,0.00017,0
1779861446000,1779861446921924800,1779861446921934000,9200,75721.4,0.00558,0
1779861447000,1779861447923999700,1779861447924008600,8900,75721.4,0.01606,0
1779861448000,1779861448923067000,1779861448923074100,7100,75721.4,0.01435,0
1779861449000,1779861449923456200,1779861449923463600,7400,75721.4,0,0
1779861450000,1779861450922268400,1779861450922277900,9500,75721.4,0.34396,0
1779861451000,1779861451919396800,1779861451919404000,7200,75721.4,0.0154,0
1779861452000,1779861452946207400,1779861452946216900,9500,75721.4,0,0
1779861453000,1779861453931910300,1779861453931917300,7000,75721.4,0.00955,0
1779861454000,1779861454911284800,1779861454911292800,8000,75721.4,0.0012,0
1779861455000,1779861455953526700,1779861455953534100,7400,75721.4,0.02569,0
1779861456000,1779861456971196500,1779861456971204000,7500,75721.4,0.01332,0
1779861457000,1779861457949159300,1779861457949166000,6700,75721.4,0.01227,0
1779861458000,1779861458957678600,1779861458957687500,8900,75721.4,0,0
1779861459000,1779861459920118800,1779861459920126300,7500,75721.4,0.00101,0
1779861460000,1779861461072228400,1779861461072235300,6900,75721.4,0.00206,0
1779861461000,1779861461973627200,1779861461973634900,7700,75721.4,0.00186,0
1779861462000,1779861462943804400,1779861462943813100,8700,75721.4,0.00071,0
1779861463000,1779861464012929900,1779861464012937000,7100,75721.4,0,0
1779861464000,1779861464927942100,1779861464927952300,10200,75721.4,0,0
1779861465000,1779861465914653300,1779861465914660300,7000,75721.4,0.00035,0
1779861466000,1779861466923722200,1779861466923729300,7100,75721.4,0,0
1779861467000,1779861467934610500,1779861467934617700,7200,75721.4,0.00231,0
1779861468000,1779861468920394000,1779861468920401800,7800,75721.4,0.00965,0
1779861469000,1779861469910313100,1779861469910331900,18800,75721.4,0.00187,0
1779861470000,1779861470968129400,1779861470968138600,9200,75721.4,0.00054,0
1779861471000,1779861471913999200,1779861471914006500,7300,75721.4,0,0
1779861472000,1779861472924613900,1779861472924621400,7500,75721.4,0.34336,0
1779861473000,1779861473917134600,1779861473917145500,10900,75721.4,0.00994,0
1779861474000,1779861474918915300,1779861474918922600,7300,75721.4,0.00044,0
1779861475000,1779861475935056900,1779861475935063900,7000,75721.4,0,0
1779861476000,1779861476910559700,1779861476910567000,7300,75721.4,0.00113,0
1779861477000,1779861477909026900,1779861477909034000,7100,75721.4,0,0
1779861478000,1779861478977493300,1779861478977500700,7400,75721.4,0.00053,0
1779861479000,1779861479937255100,1779861479937262800,7700,75721.4,0.00955,0
1779861480000,1779861480911570500,1779861480911577600,7100,75721.4,0.0245,0
1779861481000,1779861481935455400,1779861481935464600,9200,75721.4,0,0
1779861482000,1779861482916495700,1779861482916503400,7700,75721.4,0,0
1779861483000,1779861483911582800,1779861483911590700,7900,75721.4,0.00103,0
1779861484000,1779861484944058400,1779861484944065800,7400,75721.4,0.0455,0
1779861485000,1779861485991996200,1779861485992003600,7400,75721.4,0,0
1779861486000,1779861486941119500,1779861486941127800,8300,75721.4,0.00533,0
1779861487000,1779861487951380200,1779861487951388800,8600,75721.4,0.01355,0
